quartil_pib,quartil_pib_label,n_obs,n_municipios,pib_pc_medio,pib_pc_mediano,pib_pc_min,pib_pc_max
1,Q1 (Baixo PIB),4123,1246,7518.690143314815,7457.544069315805,2008.2564102564104,13899.810964083175
2,Q2 (Médio-Baixo),4123,1541,12834.535502225184,12409.349272296282,5337.733380901415,25030.72988109317
3,Q3 (Médio-Alto),4123,1643,21723.624287598854,20789.752650176677,9348.99081063341,42684.86240874049
4,Q4 (Alto PIB),4119,1391,48409.928248559634,38064.12159478162,14957.046121359172,887854.2695836273
NA,NA,1,1,NA,NA,Inf,-Inf
