Celula,Quartil_Int,Quartil_PIB,N_Tratados,ATT,SE,P_valor,IC_lower,IC_upper,Sig
Q1_Int × Q1_PIB,1,1,409,0.005401610581180814,0.0016653892208505921,0.0011809056166355895,0.002137447708313653,0.008665773454047974,**
Q1_Int × Q2_PIB,1,2,410,0.004418313127508478,0.0028138440892115165,0.11636733832623022,-0.0010968212873460944,0.00993344754236305,
Q2_Int × Q2_PIB,2,2,320,-0.005792416845681073,0.002898922177990968,0.04570281205777736,-0.01147430431454337,-1.1052937681877567e-4,*
Q3_Int × Q2_PIB,3,2,381,-0.003419697090982937,0.0021161102882659363,0.1060878903009051,-0.0075672732559841725,7.278790740182979e-4,
Q3_Int × Q3_PIB,3,3,417,-0.0027192236756770002,0.0022833999457244182,0.2337061395869229,-0.00719468756929686,0.0017562402179428591,
Q3_Int × Q4_PIB,3,4,341,-0.0013187060595668638,0.0018259780476779825,0.4701766696343357,-0.004897623033015709,0.0022602109138819817,
Q4_Int × Q3_PIB,4,3,484,0.00786396207781504,0.0027727417407655665,0.0045658386493036916,0.0024293882659145293,0.01329853588971555,**
Q4_Int × Q4_PIB,4,4,391,0.009386888272013904,0.0028387201214783993,9.439096034750835e-4,0.003822996833916241,0.014950779710111568,***
