year,party.or.pres,ideo,ideo.se,ideo.raw,ideology_01
1990,CID,-0.830379221458151,0.0377545511443541,-1.2946434805495,0.08783227027239464
1990,DEM,0.715895436690325,0.0366263831146234,1.21321634450457,0.9118524119548411
1990,MDB,-0.0688661517120764,0.0303735790307501,-0.0289664465918099,0.4936476953124532
1990,PCDOB,-0.995196568534832,0.0398862364012773,-1.5838319114418,0.0
1990,PDC,0.62215682924471,0.0358562734010688,1.06468253594192,0.8618984790093567
1990,PDT,-0.54235795751489,0.0334316205659906,-0.790312260570542,0.2413207346091709
1990,PL,0.574232267050479,0.0351983244457617,0.981070951157684,0.8363591582158268
1990,PP,0.881304477897557,0.0391898346483602,1.50854184702877,1.0
1990,PRN,0.631086405947029,0.0354561132480532,1.06794758052576,0.8666571103564032
1990,PSB,-0.757250962043627,0.035894218712484,-1.1707044488675,0.1268028104453169
1990,PSDB,-0.309406177686409,0.0313445890626754,-0.425993157955566,0.3654623013145931
1990,PT,-0.930507783533361,0.0386815523270764,-1.47000140656228,0.03447308762468184
1990,PTB,0.486591974794112,0.0343525409692115,0.832832573972392,0.7896550583577484
1993,CID,-0.596938069377808,0.0362609655979505,-0.850081100900431,0.21223462673479163
1993,DEM,0.67111303148558,0.0375924669521338,1.11586949987206,0.8879875677066136
1993,MDB,-0.0220080794859587,0.033707412008915,0.0487169140864796,0.51861867644524
1993,PCDOB,-0.946410961111332,0.0400677193297967,-1.44750271309395,0.02599817757429515
1993,PDT,-0.447073097185191,0.0350097148196413,-0.616025921875217,0.2920986760927928
1993,PL,0.642629618356121,0.0370467424266375,1.06630070013529,0.8728085657105252
1993,PP,0.734374884775995,0.0395916116364354,1.21484947082026,0.9217002338469755
1993,PPOLD,0.339230678297301,0.0348740408069613,0.603382771974104,0.711125234579086
1993,PRN,0.869466812198349,0.0415316446702936,1.44184746744706,0.9936916285116314
1993,PSB,-0.745540129733359,0.0370386516004646,-1.10616436113985,0.13304359156959744
1993,PSDB,-0.224725907883113,0.0330664984671215,-0.236072822592523,0.4105889853440481
1993,PSTU,-0.825621793943703,0.0432206028599047,-1.22288987313534,0.09036753531980445
1993,PT,-0.829869732002878,0.0388350302110965,-1.23555884535826,0.0881037806220647
1993,PTB,0.481601018023065,0.036294942610309,0.799640925723481,0.7869953440023869
1997,CID,-0.608821021594066,0.0376108767533186,-0.826206307282364,0.20590212175758954
1997,DEM,0.789233404903693,0.0418073243922002,1.37550019889352,0.9509347073539288
1997,MDB,0.0633370413260823,0.0353261272587181,0.237182867206416,0.5640996640387718
1997,PCDOB,-0.966474029148427,0.042045048041959,-1.43066378336564,0.015306433983083791
1997,PDT,-0.540633229261148,0.0363941117880424,-0.716136234913628,0.24223985386946711
1997,PL,0.627233779636414,0.0398099592945671,1.10765501001104,0.8646040199422308
1997,PP,0.852583328875062,0.0432366600402743,1.49271925110344,0.9846943069511741
1997,PSB,-0.662023611101473,0.0378218964421926,-0.924654126660474,0.1775501047903963
1997,PSDB,0.162067757628353,0.0354322965556977,0.406363017145753,0.6167139252937698
1997,PT,-0.880888888998247,0.0400815708735767,-1.28826214985148,0.060915329492571904
1997,PTB,0.57205494467277,0.0380145021455809,1.01651380184725,0.8351988485097126
2001,CID,-0.398516662228661,0.0357416710611842,-0.506001630715898,0.3179747261215661
2001,DEM,0.716745041933602,0.0403176361963876,1.408753532083,0.9123051722903028
2001,MDB,0.151333348644412,0.0347796539951558,0.438824889020153,0.6109934867124275
2001,PCDOB,-0.897913423785333,0.0405679385731589,-1.39441872868931,0.05184284066052297
2001,PDT,-0.490079279586149,0.0363360591066721,-0.639669384350964,0.2691803928961372
2001,PL,0.422455814711751,0.0377264098884615,0.915941962812214,0.755476468260878
2001,PP,0.788577197993928,0.0414887576349085,1.56050012286315,0.9505850102882052
2001,PSB,-0.631215332234254,0.0373345496975394,-0.893999668576441,0.1939680433392673
2001,PSDB,0.178927286691779,0.0355116826148875,0.487684854863889,0.6256984814684009
2001,PT,-0.79285177571543,0.0391255495715399,-1.1843851890016,0.10783089793853337
2001,PTB,0.458641807921473,0.0379694778070955,0.93068648883099,0.7747602268702958
2005,CID,-0.406946422226809,0.0400960997664009,-0.460786772539793,0.31348245045021766
2005,DEM,0.665880584820312,0.0456463075364767,1.19305928761441,0.8851991617660914
2005,MDB,0.11565342978115,0.0395355244727745,0.377927299636554,0.591979418518276
2005,PCDOB,-0.743312483901839,0.0429371707127616,-0.97071513044375,0.13423071898194566
2005,PDT,-0.352580387705918,0.0407761696642173,-0.37578926440145,0.3424544750724538
2005,PL,0.41645623615356,0.0417163200957526,0.829027415437753,0.7522792525867396
2005,PP,0.673936750352624,0.0449543710217589,1.19898737494932,0.8894923464395711
2005,PSB,-0.537034758869162,0.0411320843469724,-0.63206665882517,0.24415750288907595
2005,PSDB,0.141223327184587,0.0399190096878985,0.421433965483211,0.605605788432671
2005,PT,-0.525277952875036,0.0399283332616255,-0.572848081159479,0.2504227836979932
2005,PTB,0.375486060248526,0.0404439558421983,0.762582834312509,0.7304459709144875
2009,CID,-0.190561566812189,0.0361961969092148,-0.0587336725123429,0.4287953919623003
2009,DEM,0.635181946887111,0.0412936955164694,1.23435245573153,0.8688396516067097
2009,MDB,0.0539824186085175,0.0357460022782652,0.38122681126661,0.5591145228179076
2009,PCDOB,-0.731783949496238,0.0398875283376594,-0.960663751230981,0.14037435232950976
2009,PDT,-0.374415585143606,0.0366556729602113,-0.367046924419763,0.33081835183170144
2009,PL,0.327814339834224,0.0367487178278072,0.788264994758436,0.7050413912021896
