Código IBGE,primeira_estacao_3g,n_estacoes_3g_total,Município-UF,UF,operadora_primeira,faixa_primeira,ano_primeira_3g,mes_primeira_3g,trimestre_primeira_3g
3301900,1999-01-01,261,Itaboraí - RJ,RJ,CLARO,850,1999,1,1
3303906,1999-01-01,549,Petrópolis - RJ,RJ,TIM,2100,1999,1,1
3534401,1999-01-01,395,Osasco - SP,SP,VIVO,850,1999,1,1
5106257,1999-01-01,4,Nova Xavantina - MT,MT,VIVO,2100,1999,1,1
2927408,1999-01-01,2719,Salvador - BA,BA,CLARO,2100,1999,1,1
3112703,1999-01-01,19,Capitão Enéas - MG,MG,VIVO,850,1999,1,1
5107701,1999-01-01,8,Rosário Oeste - MT,MT,CLARO,850,1999,1,1
5107800,1999-01-01,28,Santo Antônio do Leverger - MT,MT,CLARO,850,1999,1,1
3203403,1999-01-01,42,Mimoso do Sul - ES,ES,VIVO,850,1999,1,1
3303500,1999-01-01,715,Nova Iguaçu - RJ,RJ,VIVO,2100,1999,1,1
3301009,1999-01-01,892,Campos dos Goytacazes - RJ,RJ,VIVO,850,1999,1,1
3134202,1999-01-01,165,Ituiutaba - MG,MG,ALGAR,2100,1999,1,1
3304904,1999-01-01,730,São Gonçalo - RJ,RJ,CLARO,850,1999,1,1
4320800,1999-01-01,34,Soledade - RS,RS,CLARO,850,1999,1,1
3149309,1999-01-01,64,Pedro Leopoldo - MG,MG,VIVO,850,1999,1,1
3202405,1999-01-01,374,Guarapari - ES,ES,VIVO,2100,1999,1,1
3550308,1999-01-01,11901,São Paulo - SP,SP,VIVO,850,1999,1,1
3151800,1999-01-01,139,Poços de Caldas - MG,MG,VIVO,2100,1999,1,1
5105606,1999-01-01,17,Matupá - MT,MT,CLARO,2100,1999,1,1
2305357,1999-01-01,12,Icapuí - CE,CE,VIVO,2100,1999,1,1
4316808,1999-01-01,200,Santa Cruz do Sul - RS,RS,VIVO,850,1999,1,1
3525904,1999-01-01,699,Jundiaí - SP,SP,CLARO,2100,1999,1,1
3106200,1999-01-01,3134,Belo Horizonte - MG,MG,CLARO,2100,1999,1,1
3304557,1999-01-01,10495,Rio de Janeiro - RJ,RJ,CLARO,2100,1999,1,1
3306305,1999-01-01,315,Volta Redonda - RJ,RJ,VIVO,2100,1999,1,1
3300407,1999-01-01,190,Barra Mansa - RJ,RJ,VIVO,850,1999,1,1
3300456,1999-01-01,354,Belford Roxo - RJ,RJ,VIVO,2100,1999,1,1
4322509,1999-01-01,60,Vacaria - RS,RS,CLARO,850,1999,1,1
3507605,1999-01-01,276,Bragança Paulista - SP,SP,CLARO,850,1999,1,1
4314902,1999-01-01,2821,Porto Alegre - RS,RS,TIM,2100,1999,1,1
5208707,1999-01-01,1457,Goiânia - GO,GO,VIVO,850,1999,1,1
3518800,1999-01-01,784,Guarulhos - SP,SP,CLARO,850,1999,1,1
4314407,1999-01-01,283,Pelotas - RS,RS,TIM,2100,1999,1,1
3304144,1999-01-01,147,Queimados - RJ,RJ,CLARO,850,1999,1,1
3523909,1999-01-01,267,Itu - SP,SP,CLARO,850,1999,1,1
5101803,1999-01-01,111,Barra do Garças - MT,MT,VIVO,850,1999,1,1
4314100,1999-01-01,360,Passo Fundo - RS,RS,VIVO,2100,1999,1,1
5103304,1999-01-01,14,Comodoro - MT,MT,CLARO,850,1999,1,1
5103403,1999-01-01,1038,Cuiabá - MT,MT,VIVO,850,1999,1,1
3525508,1999-01-01,24,Joanópolis - SP,SP,CLARO,850,1999,1,1
4304200,1999-01-01,30,Candelária - RS,RS,VIVO,850,1999,1,1
2916104,1999-01-01,29,Itaparica - BA,BA,VIVO,2100,1999,1,1
3301504,1999-01-01,30,Cordeiro - RJ,RJ,VIVO,850,1999,1,1
3106705,1999-01-01,413,Betim - MG,MG,VIVO,850,1999,1,1
4319000,1999-01-01,15,São Marcos - RS,RS,CLARO,850,1999,1,1
2804805,1999-01-01,197,Nossa Senhora do Socorro - SE,SE,CLARO,2100,1999,1,1
3200607,1999-01-01,159,Aracruz - ES,ES,VIVO,850,1999,1,1
3156908,1999-01-01,23,Sacramento - MG,MG,ALGAR,2100,1999,1,1
4306205,1999-01-01,15,Cruzeiro do Sul - RS,RS,CLARO,850,1999,1,1
3124104,1999-01-01,79,Esmeraldas - MG,MG,CLARO,2100,1999,1,1
2304400,1999-01-01,2214,Fortaleza - CE,CE,VIVO,2100,1999,1,1
3301702,1999-01-01,867,Duque de Caxias - RJ,RJ,CLARO,850,1999,1,1
3154606,1999-01-01,149,Ribeirão das Neves - MG,MG,CLARO,2100,1999,1,1
3170701,1999-01-01,166,Varginha - MG,MG,CLARO,2100,1999,1,1
3160702,1999-01-01,46,Santos Dumont - MG,MG,VIVO,850,1999,1,1
3152501,1999-01-01,190,Pouso Alegre - MG,MG,VIVO,850,1999,1,1
3118601,1999-01-01,563,Contagem - MG,MG,CLARO,2100,1999,1,1
3170107,1999-01-01,377,Uberaba - MG,MG,VIVO,2100,1999,1,1
3169356,1999-01-01,26,Três Marias - MG,MG,CLARO,2100,1999,1,1
3170206,1999-01-01,857,Uberlândia - MG,MG,VIVO,2100,1999,1,1
3303302,1999-01-01,997,Niterói - RJ,RJ,CLARO,850,1999,1,1
3167202,1999-01-01,278,Sete Lagoas - MG,MG,CLARO,2100,1999,1,1
3131307,1999-01-01,200,Ipatinga - MG,MG,CLARO,2100,1999,1,1
3201506,1999-01-01,224,Colatina - ES,ES,VIVO,850,1999,1,1
2704302,1999-01-01,1176,Maceió - AL,AL,VIVO,2100,1999,1,1
2800308,1999-01-01,981,Aracaju - SE,SE,TIM,2100,1999,1,1
2800605,1999-01-01,35,Barra dos Coqueiros - SE,SE,VIVO,2100,1999,1,1
3110301,1999-03-01,24,Caldas - MG,MG,VIVO,850,1999,3,1
3127701,1999-03-01,231,Governador Valadares - MG,MG,CLARO,2100,1999,3,1
3170800,1999-03-01,32,Várzea da Palma - MG,MG,VIVO,2100,1999,3,1
3144607,1999-03-01,22,Nepomuceno - MG,MG,VIVO,850,1999,3,1
3110707,1999-03-01,9,Cambuquira - MG,MG,VIVO,850,1999,3,1
3141108,1999-03-01,43,Matozinhos - MG,MG,VIVO,2100,1999,3,1
3110509,1999-03-01,24,Camanducaia - MG,MG,TIM,2100,1999,3,1
3133758,1999-03-01,8,Itaú de Minas - MG,MG,TIM,850,1999,3,1
3157807,1999-03-01,156,Santa Luzia - MG,MG,VIVO,850,1999,3,1
3133501,1999-03-01,32,Itapecerica - MG,MG,VIVO,850,1999,3,1
3120409,1999-03-01,13,Cristiano Otoni - MG,MG,VIVO,850,1999,3,1
3113305,1999-03-01,36,Carangola - MG,MG,VIVO,850,1999,3,1
3146107,1999-03-01,96,Ouro Preto - MG,MG,TIM,850,1999,3,1
3161106,1999-03-01,49,São Francisco - MG,MG,VIVO,850,1999,3,1
