codigo_tse,sigla_partido,votos
00019,PCB,6
00019,PCO,4
00019,PRTB,20
00019,PSDB,6755
00019,PSDC,28
00019,PSOL,166
00019,PSTU,8
00019,PT,9239
00019,PV,3298
00035,PCB,89
00035,PCO,20
00035,PRTB,150
00035,PSDB,62047
00035,PSDC,394
00035,PSOL,3057
00035,PSTU,130
00035,PT,96236
00035,PV,54558
00051,PCB,21
00051,PCO,11
00051,PRTB,32
00051,PSDB,30350
00051,PSDC,83
00051,PSOL,467
00051,PSTU,27
00051,PT,19369
00051,PV,7997
00078,PCB,16
00078,PCO,6
00078,PRTB,40
00078,PSDB,24037
00078,PSDC,55
00078,PSOL,319
00078,PSTU,15
00078,PT,15181
00078,PV,3902
00094,PCB,15
00094,PCO,1
00094,PRTB,41
00094,PSDB,22390
00094,PSDC,107
00094,PSOL,311
00094,PSTU,28
00094,PT,14115
00094,PV,4076
00116,PCB,9
00116,PCO,1
00116,PRTB,15
00116,PSDB,8995
00116,PSDC,30
00116,PSOL,97
00116,PSTU,13
00116,PT,6602
00116,PV,2097
00132,PCB,8
00132,PCO,8
00132,PRTB,18
00132,PSDB,17641
00132,PSDC,48
00132,PSOL,237
00132,PSTU,22
00132,PT,12184
00132,PV,4788
00159,PCB,14
00159,PCO,3
00159,PRTB,13
00159,PSDB,15874
00159,PSDC,33
00159,PSOL,214
00159,PSTU,15
00159,PT,9524
00159,PV,1702
00175,PCB,10
00175,PCO,3
00175,PRTB,11
00175,PSDB,11398
00175,PSDC,25
00175,PSOL,143
00175,PSTU,13
00175,PT,7958
00175,PV,1644
00191,PCB,2
00191,PRTB,9
00191,PSDB,5362
00191,PSDC,3
00191,PSOL,53
00191,PSTU,8
00191,PT,4952
00191,PV,1387
00213,PCB,5
00213,PCO,2
00213,PRTB,2
00213,PSDB,2545
00213,PSDC,11
00213,PSOL,21
00213,PSTU,3
00213,PT,3062
00213,PV,258
00230,PCB,4
00230,PCO,3
00230,PRTB,7
00230,PSDB,4487
00230,PSDC,13
00230,PSOL,78
00230,PSTU,7
00230,PT,4721
00230,PV,679
00256,PCB,6
00256,PCO,3
00256,PRTB,15
00256,PSDB,8343
00256,PSDC,32
00256,PSOL,119
00256,PSTU,10
00256,PT,6185
00256,PV,686
00272,PCB,6
00272,PCO,1
00272,PRTB,2
00272,PSDB,5935
00272,PSDC,15
00272,PSOL,39
00272,PSTU,6
00272,PT,2982
00272,PV,645
00299,PCB,8
00299,PCO,7
00299,PRTB,9
00299,PSDB,12965
00299,PSDC,27
00299,PSOL,145
00299,PSTU,12
00299,PT,10435
00299,PV,2251
00310,PCB,4
00310,PRTB,17
00310,PSDB,6581
00310,PSDC,15
00310,PSOL,59
00310,PSTU,11
00310,PT,6497
00310,PV,550
00337,PCB,1
00337,PRTB,7
00337,PSDB,4468
00337,PSDC,16
00337,PSOL,40
00337,PSTU,5
00337,PT,3957
00337,PV,481
00353,PCB,1
00353,PRTB,8
00353,PSDB,2754
00353,PSDC,10
00353,PSOL,43
00353,PSTU,5
00353,PT,2320
00353,PV,209
00370,PCB,5
00370,PRTB,6
00370,PSDB,6014
00370,PSDC,9
00370,PSOL,65
00370,PSTU,10
00370,PT,4171
00370,PV,442
00396,PCB,2
00396,PRTB,6
00396,PSDB,7676
00396,PSDC,63
00396,PSOL,57
00396,PSTU,7
00396,PT,6310
00396,PV,384
00418,PCO,1
00418,PRTB,2
00418,PSDB,5451
00418,PSDC,6
00418,PSOL,33
00418,PSTU,5
00418,PT,4821
00418,PV,419
00434,PCB,5
00434,PCO,1
00434,PRTB,3
00434,PSDB,5821
00434,PSDC,9
00434,PSOL,54
00434,PSTU,4
00434,PT,3643
00434,PV,316
00450,PCB,1
00450,PRTB,1
00450,PSDB,1746
00450,PSDC,5
00450,PSOL,20
00450,PSTU,3
00450,PT,1795
00450,PV,231
00477,PCB,2
00477,PCO,2
00477,PRTB,7
00477,PSDB,2670
00477,PSDC,18
00477,PSOL,86
00477,PSTU,7
00477,PT,5448
00477,PV,1661
00493,PRTB,1
00493,PSDB,1586
00493,PSDC,10
00493,PSOL,22
00493,PSTU,1
00493,PT,2193
00493,PV,303
00515,PCB,2
00515,PCO,1
00515,PRTB,3
00515,PSDB,2384
00515,PSDC,5
00515,PSOL,23
00515,PSTU,4
00515,PT,2912
00515,PV,340
00531,PCO,1
00531,PRTB,1
00531,PSDB,1019
00531,PSDC,1
00531,PSOL,6
00531,PSTU,2
00531,PT,1354
00531,PV,117
00558,PCB,4
00558,PCO,1
00558,PRTB,2
00558,PSDB,2556
00558,PSDC,7
00558,PSOL,24
00558,PSTU,2
00558,PT,2046
00558,PV,179
00566,PCB,2
00566,PRTB,2
00566,PSDB,3790
00566,PSDC,5
00566,PSOL,30
00566,PSTU,5
00566,PT,2674
00566,PV,313
00574,PCB,3
00574,PRTB,1
00574,PSDB,3665
00574,PSDC,3
00574,PSOL,35
00574,PSTU,2
00574,PT,2923
00574,PV,224
00582,PCB,1
00582,PRTB,12
00582,PSDB,2985
00582,PSDC,6
00582,PSOL,35
00582,PSTU,3
00582,PT,3206
00582,PV,171
00590,PRTB,2
00590,PSDB,3361
00590,PSDC,5
00590,PSOL,38
00590,PSTU,5
00590,PT,2238
00590,PV,215
00604,PRTB,1
00604,PSDB,2621
00604,PSDC,3
00604,PSOL,17
00604,PSTU,2
00604,PT,2396
00604,PV,204
00612,PCO,2
00612,PRTB,7
00612,PSDB,3439
00612,PSDC,2
00612,PSOL,27
00612,PSTU,2
00612,PT,2136
00612,PV,159
00620,PCB,3
00620,PSDB,1614
00620,PSDC,1
00620,PSOL,25
00620,PSTU,1
00620,PT,1225
00620,PV,195
00639,PCB,2
00639,PRTB,2
00639,PSDB,4123
00639,PSDC,7
00639,PSOL,59
00639,PSTU,1
00639,PT,3814
00639,PV,275
00647,PCB,1
00647,PSDB,1156
