esteban_ray,post,tem_4g,post_x_4g,tem_3g,anos_3g,codigo_tse
0.0369735797003197,0,0,0,1.0,8.83230663928816,10022
0.0459280749129573,0,0,0,0.0,0.0,10049
0.0451182149828458,0,1,0,1.0,9.500342231348393,10057
0.0486924420608201,0,1,0,1.0,18.915811088295687,10073
0.0335806382547247,0,0,0,1.0,8.747433264887064,10081
0.0434136414370707,0,1,0,1.0,13.661875427789186,10090
0.0456368586059503,0,0,0,1.0,9.500342231348393,10103
0.0421856863866159,0,0,0,1.0,9.500342231348393,10138
0.039158417282941,0,0,0,1.0,9.500342231348393,10146
0.0613502227308322,0,0,0,1.0,8.58590006844627,10154
0.0426040679029625,0,0,0,1.0,9.831622176591376,10162
0.0348793605146978,0,1,0,1.0,0.1670088980150581,10170
0.0464519037846477,0,0,0,1.0,9.500342231348393,10189
0.0359312756286317,0,0,0,1.0,9.500342231348393,10197
0.0355367607844089,0,0,0,1.0,8.58590006844627,10200
0.0407415526651032,0,0,0,1.0,9.500342231348393,10219
0.0293670032165186,0,0,0,0.0,0.0,10227
0.0630035691525989,0,1,0,1.0,17.166324435318277,10235
0.0443512973320367,0,0,0,1.0,8.747433264887064,10243
0.03491963602685,0,0,0,1.0,8.747433264887064,10260
0.0261161467851232,0,0,0,1.0,9.333333333333334,10286
0.0643648202451105,0,1,0,1.0,18.16563997262149,10294
0.0540339319454509,0,0,0,1.0,9.418206707734427,10316
0.0371828480322302,0,0,0,1.0,9.500342231348393,10324
0.0459453259022682,0,0,0,1.0,9.333333333333334,10332
0.0306292972841516,0,0,0,1.0,9.500342231348393,10340
0.0674008209421106,0,0,0,0.0,0.0,10359
0.0450847015643699,0,0,0,1.0,9.998631074606434,10367
0.0579216170897879,0,1,0,1.0,19.16769336071184,10375
0.0452487932364858,0,0,0,1.0,9.333333333333334,10383
0.0599284611940169,0,0,0,1.0,16.251882272416154,10391
0.0375589467887133,0,0,0,1.0,9.333333333333334,10405
0.0254154493512432,0,0,0,1.0,9.500342231348393,10413
0.018231409329502,0,0,0,1.0,8.58590006844627,10421
0.0423234874311655,0,1,0,1.0,8.501026694045175,10448
0.0579985631307535,0,1,0,1.0,0.8323066392881588,10464
0.0517053522114207,0,0,0,0.0,0.0,10480
0.0395068812262996,0,0,0,1.0,9.500342231348393,10499
0.0356573287450418,0,0,0,1.0,8.83230663928816,10502
0.0564616085451256,0,1,0,1.0,10.584531143052704,10510
0.0548079214313122,0,0,0,1.0,8.83230663928816,10529
0.0486254801685262,0,0,0,1.0,9.500342231348393,10545
0.0302852853858323,0,0,0,1.0,8.58590006844627,10553
0.0352083430738808,0,0,0,1.0,8.747433264887064,10561
0.0413376691402437,0,0,0,1.0,8.747433264887064,10588
0.0512753589715071,0,0,0,0.0,0.0,10596
0.0586289438654611,0,1,0,1.0,8.501026694045175,10634
0.0394383053456998,0,0,0,1.0,8.999315537303216,10669
0.0485510650378379,0,1,0,1.0,0.8323066392881588,10677
0.0421282661394878,0,1,0,1.0,12.41889117043121,10693
0.03627861168426,0,0,0,1.0,8.66255989048597,10707
0.0441947556062186,0,0,0,1.0,9.500342231348393,10715
0.0277979147914003,0,1,0,1.0,0.8323066392881588,10723
0.0685017530846557,0,1,0,1.0,18.915811088295687,10731
0.0465116251727654,0,0,0,1.0,8.83230663928816,10740
0.0509229255990303,0,0,0,1.0,9.500342231348393,10758
0.0357690040333529,0,0,0,1.0,8.747433264887064,10766
0.0533554185968487,0,1,0,1.0,17.251197809719372,10774
0.047599356076578,0,1,0,1.0,1.5852156057494866,10782
0.0524743381383357,0,0,0,1.0,8.501026694045175,10790
0.0450950371061786,0,0,0,1.0,9.333333333333334,10812
