codigo_tse,ano,esteban_ray,herfindahl,concentracao_bipartidaria,enp
00019,2010,0.059170252828810777,0.37477112427428816,0.48334875115633674,2.668295221347198
00035,2010,0.05145192730935293,0.34534319546498554,0.45990699311712013,2.895670200345356
00051,2010,0.06267087559148782,0.4018746449633569,0.3409243249746489,2.488338123673317
00078,2010,0.06736846493802265,0.4364550868524496,0.35682221045604184,2.291186493464024
00094,2010,0.06629895589910609,0.4289408201890946,0.35278294042844566,2.3313239331224276
00116,2010,0.06556580930200157,0.4072519174565957,0.3765386993423641,2.4554826070440257
00132,2010,0.06320850324446041,0.39738732711827074,0.3564131994261119,2.516436563922883
00159,2010,0.06985231225203713,0.46328117788312645,0.3565204656952478,2.158516356242458
00175,2010,0.06969005293481542,0.4383797724684519,0.3831528165350234,2.281127147744859
00191,2010,0.0662909233328884,0.3995463087676589,0.4258124893653224,2.502838790037508
00213,2010,0.0751544254674939,0.45951438412635404,0.5237852531430514,2.1762104398564963
00230,2010,0.07214913275128762,0.4318993547159161,0.48158554942298043,2.3153542349183525
00256,2010,0.07438318833514944,0.46084313615675015,0.4111393725950564,2.169935758053392
00272,2010,0.06656538988911874,0.48312520087910066,0.3146547234663056,2.0698568366551515
00299,2010,0.06951361991638541,0.4238867247127473,0.4101411071483951,2.359120825682059
00310,2010,0.07636769823586749,0.4581472941514414,0.4789946664718346,2.182704149442053
00337,2010,0.0742747330528975,0.4479997954790371,0.44679186228482004,2.232143876161194
00353,2010,0.07599073553460146,0.4587294433714175,0.4436725497559144,2.179934195308092
00370,2010,0.07422039839653913,0.47030756008912056,0.3961840628507295,2.1262681803594776
00396,2010,0.07783693225374567,0.47510605795244953,0.44132529285367716,2.1047931998797704
00418,2010,0.07640999018654052,0.4620014146268915,0.4526296158149944,2.1644955368969847
00434,2010,0.07412471679618081,0.4886718675839559,0.3759406141956478,2.0463629407276973
00450,2010,0.07332522984717461,0.43982098110167533,0.4786392405063291,2.2736523334907153
00477,2010,0.055181428218129304,0.40666505168995837,0.5609731373542828,2.459026158860586
00493,2010,0.06974004711668813,0.4403621104689382,0.5397173489278753,2.270858405449796
00515,2010,0.07273269178608673,0.44589069774899864,0.5186428697649761,2.2427020905534145
00531,2010,0.07395519308699684,0.46314519898504264,0.5448717948717948,2.159150094163656
00558,2010,0.0760835818692735,0.465690287497523,0.43080124869927156,2.1473499165586936
00566,2010,0.07380995518510355,0.46645362799280526,0.3972381372116938,2.143835828446862
00574,2010,0.07670461828334305,0.46985693198768835,0.4320140207390098,2.1283074313059256
00582,2010,0.07817272146665996,0.46965716817244413,0.5066437392527747,2.1292126848425528
00590,2010,0.07435472662494604,0.47750627345097973,0.3889268626110731,2.0942133236761733
00604,2010,0.07651998268989224,0.461148309538149,0.460672012218404,2.168499763127233
00612,2010,0.07459944788461559,0.4945966179700873,0.3754556500607534,2.0218496521552822
00620,2010,0.07204207736502677,0.4428831861908135,0.40863027133050017,2.257931732746242
00639,2010,0.07720944858872934,0.4622875225657815,0.4682626042800145,2.1631559390783783
00647,2010,0.0708985779223792,0.46180728882338073,0.3695115934879132,2.1654054065449198
00655,2010,0.0733054375136032,0.4409739899197473,0.4514907714150497,2.267707445017312
00663,2010,0.0728068984365381,0.47208235199237364,0.37859624739402364,2.118274482788026
00671,2010,0.0768738451365481,0.47407465478114336,0.42763549731983325,2.10937241616861
00680,2010,0.0735479576542379,0.5036010042133912,0.3591390941214263,1.9856989792186146
00698,2010,0.07667469251553752,0.48256119011489773,0.41025641025641024,2.0722760563523566
00701,2010,0.07829970938683022,0.4748492837788156,0.5198339483394834,2.1059313642469326
00710,2010,0.0718637154337413,0.46851186111077925,0.3726937269372694,2.134417680758675
00728,2010,0.0688248905757479,0.4179557951668681,0.408058294042006,2.392597522426389
00736,2010,0.07609403537421075,0.4642966756422633,0.434238683127572,2.153795304729883
00744,2010,0.07732096819293686,0.4655914472444789,0.49011369253583786,2.147805776756262
00752,2010,0.0757143687911824,0.4864051527718879,0.3947721179624665,2.055899273067478
00779,2010,0.07445963702258225,0.4983502407461819,0.3704105134805582,2.0066208827404113
00787,2010,0.07324287292747289,0.4454334013776839,0.42781557067271353,2.2450045212305443
00795,2010,0.07650305236080264,0.47907506012069173,0.41272677295217153,2.0873555800380705
00809,2010,0.07165249846389639,0.44049240522152944,0.41106259097525477,2.2701867004882565
01007,2010,0.05593545104329523,0.448584930401646,0.23685918234912395,2.229232264009934
01015,2010,0.052149929309173955,0.5562883625400364,0.19140625,1.7976288330641275
01023,2010,0.05023273763379967,0.5695353808221645,0.17803311094638002,1.755817168999105
01031,2010,0.0528857452493934,0.3670596332765407,0.2547635850388144,2.7243529643223003
01040,2010,0.07252285848589894,0.4442685568564108,0.4220067453625632,2.250890783439359
01058,2010,0.06069667473078425,0.4715173237391455,0.27160964452492137,2.1208128517314533
01066,2010,0.0746843907087035,0.4550715708382816,0.434149364735048,2.197456541084104
01074,2010,0.06129913161661313,0.4148180289495761,0.3111769686706181,2.4106956067754632
01082,2010,0.07159931727700085,0.44697014760603315,0.3997111391948005,2.2372858799541495
01090,2010,0.07453139401867677,0.4544751810344533,0.43441201964750076,2.200340176385102
01104,2010,0.06987710805416364,0.42306199374183273,0.4320145520691223,2.363719773443499
01112,2010,0.05735781580512613,0.45793824488208845,0.24713784155090823,2.183700556081494
01120,2010,0.0571263767487528,0.5910580904236384,0.22369811320754715,1.691881079376232
01139,2010,0.06595389735898326,0.42464907543705455,0.5310658810926621,2.3548856169550976
