codigo_tse,sigla_partido,votos
01023,MDB,155
01023,NOVO,9
01023,PATRI,60
01023,PDT,344
01023,PODE,15
01023,PPL,2
01023,PSDB,1086
01023,PSL,6031
01023,PSOL,16
01023,PSTU,3
01023,PT,1970
01023,REDE,138
10235,DC,10
10235,MDB,193
10235,NOVO,97
10235,PATRI,98
10235,PDT,2536
10235,PODE,62
10235,PPL,5
10235,PSDB,921
10235,PSL,3917
10235,PSOL,58
10235,PSTU,8
10235,PT,17306
10235,REDE,165
10243,MDB,14
10243,NOVO,10
10243,PATRI,16
10243,PDT,300
10243,PODE,3
10243,PPL,1
10243,PSDB,36
10243,PSL,164
10243,PSOL,10
10243,PT,3072
10243,REDE,3
10251,MDB,16
10251,NOVO,9
10251,PATRI,3
10251,PDT,249
10251,PODE,7
10251,PSDB,59
10251,PSL,280
10251,PSOL,9
10251,PSTU,2
10251,PT,1327
10251,REDE,18
10260,MDB,26
10260,NOVO,6
10260,PATRI,16
10260,PDT,185
10260,PODE,4
10260,PPL,1
10260,PSDB,26
10260,PSL,136
10260,PSOL,8
10260,PSTU,2
10260,PT,2720
10260,REDE,3
10278,DC,1
10278,MDB,24
10278,NOVO,35
10278,PATRI,18
10278,PDT,465
10278,PODE,10
10278,PSDB,80
10278,PSL,888
10278,PSOL,5
10278,PT,2760
10278,REDE,21
10286,MDB,39
10286,NOVO,13
10286,PATRI,38
10286,PDT,336
10286,PODE,9
10286,PSDB,26
10286,PSL,275
10286,PSOL,6
10286,PSTU,3
10286,PT,3026
10286,REDE,4
10294,DC,4
10294,MDB,136
10294,NOVO,59
10294,PATRI,90
10294,PDT,1039
10294,PODE,31
10294,PPL,3
10294,PSDB,545
10294,PSL,2720
10294,PSOL,32
10294,PSTU,5
10294,PT,10384
10294,REDE,77
10308,MDB,17
10308,NOVO,15
10308,PATRI,21
10308,PDT,266
10308,PPL,1
10308,PSDB,41
10308,PSL,410
10308,PSOL,5
10308,PSTU,4
10308,PT,2279
10308,REDE,9
01031,MDB,33
01031,NOVO,4
01031,PATRI,5
01031,PDT,74
01031,PODE,4
01031,PPL,2
01031,PSDB,304
01031,PSL,474
01031,PSOL,34
01031,PSTU,1
01031,PT,1110
01031,REDE,97
10316,DC,2
10316,MDB,64
10316,NOVO,36
10316,PATRI,23
10316,PDT,426
10316,PODE,12
10316,PPL,1
10316,PSDB,206
10316,PSL,780
10316,PSOL,17
10316,PSTU,2
10316,PT,5308
10316,REDE,27
10324,DC,2
10324,MDB,65
10324,NOVO,24
10324,PATRI,14
10324,PDT,383
10324,PODE,7
10324,PSDB,51
10324,PSL,568
10324,PSOL,13
10324,PSTU,1
10324,PT,4774
10324,REDE,28
10332,MDB,29
10332,NOVO,9
10332,PATRI,7
10332,PDT,247
10332,PODE,4
10332,PSDB,45
10332,PSL,517
10332,PSOL,6
10332,PSTU,1
10332,PT,2517
10332,REDE,9
10340,DC,1
10340,MDB,25
10340,NOVO,5
10340,PATRI,29
10340,PDT,155
10340,PODE,8
10340,PSDB,37
10340,PSL,196
10340,PSOL,4
10340,PT,2710
10340,REDE,7
10359,DC,2
10359,MDB,18
10359,NOVO,34
10359,PATRI,9
10359,PDT,384
10359,PODE,10
10359,PSDB,206
10359,PSL,626
10359,PSOL,13
10359,PSTU,1
10359,PT,2741
10359,REDE,6
10367,MDB,56
10367,NOVO,8
10367,PATRI,26
10367,PDT,876
10367,PODE,7
10367,PSDB,78
10367,PSL,884
10367,PSOL,8
10367,PSTU,1
10367,PT,3351
10367,REDE,16
10375,MDB,88
10375,NOVO,97
10375,PATRI,83
10375,PDT,998
10375,PODE,47
10375,PPL,14
10375,PSDB,981
10375,PSL,3151
10375,PSOL,37
10375,PSTU,4
10375,PT,7486
10375,REDE,64
10383,DC,1
10383,MDB,38
10383,NOVO,15
10383,PATRI,9
10383,PDT,500
10383,PODE,7
10383,PSDB,120
10383,PSL,257
10383,PSOL,3
10383,PSTU,4
10383,PT,2859
10383,REDE,8
10391,MDB,81
10391,NOVO,106
10391,PATRI,53
10391,PDT,902
10391,PODE,35
10391,PPL,1
10391,PSDB,291
10391,PSL,1810
10391,PSOL,26
10391,PT,8799
10391,REDE,59
01040,DC,1
01040,MDB,296
01040,PATRI,13
01040,PDT,325
01040,PODE,10
01040,PPL,2
01040,PSDB,1269
01040,PSL,1982
01040,PSOL,35
01040,PSTU,2
01040,PT,2847
01040,REDE,34
10405,MDB,13
10405,NOVO,11
10405,PATRI,44
10405,PDT,114
10405,PODE,2
10405,PSDB,38
10405,PSL,430
10405,PSOL,6
10405,PSTU,2
10405,PT,2040
10405,REDE,3
10413,MDB,49
10413,NOVO,6
10413,PATRI,5
10413,PDT,332
10413,PODE,3
10413,PSDB,21
10413,PSL,199
10413,PSOL,4
10413,PSTU,1
10413,PT,3064
10413,REDE,7
10421,MDB,62
10421,NOVO,13
10421,PATRI,15
10421,PDT,485
10421,PODE,3
10421,PPL,1
10421,PSDB,71
10421,PSL,314
10421,PSOL,13
10421,PSTU,1
10421,PT,4096
10421,REDE,3
10430,DC,13
10430,MDB,194
10430,NOVO,192
10430,PATRI,126
10430,PDT,3788
10430,PODE,66
10430,PPL,4
10430,PSDB,534
10430,PSL,5408
10430,PSOL,81
10430,PSTU,8
10430,PT,15565
10430,REDE,192
10448,MDB,24
10448,NOVO,11
10448,PATRI,1
10448,PDT,280
10448,PODE,5
10448,PSDB,34
10448,PSL,279
10448,PSOL,10
10448,PT,1901
10448,REDE,14
10456,DC,2
10456,MDB,119
10456,NOVO,48
10456,PATRI,63
10456,PDT,1055
10456,PODE,69
10456,PPL,4
10456,PSDB,273
10456,PSL,1622
10456,PSOL,21
10456,PSTU,4
10456,PT,7370
10456,REDE,34
10464,MDB,26
10464,NOVO,11
10464,PATRI,4
10464,PDT,235
10464,PODE,1
10464,PPL,1
10464,PSDB,485
10464,PSL,460
10464,PSOL,5
10464,PSTU,1
10464,PT,1914
10464,REDE,8
10472,MDB,49
10472,NOVO,30
10472,PATRI,22
10472,PDT,913
10472,PODE,10
10472,PPL,5
10472,PSDB,131
10472,PSL,724
10472,PSOL,16
10472,PT,4961
10472,REDE,23
10480,MDB,41
10480,NOVO,22
10480,PATRI,30
10480,PDT,278
10480,PODE,4
10480,PPL,1
10480,PSDB,50
10480,PSL,374
10480,PSOL,2
10480,PSTU,2
10480,PT,2113
10480,REDE,6
10499,MDB,84
10499,NOVO,12
10499,PATRI,15
10499,PDT,434
10499,PODE,15
10499,PSDB,105
10499,PSL,549
10499,PSOL,26
10499,PSTU,3
10499,PT,4669
10499,REDE,22
10502,MDB,20
10502,NOVO,3
10502,PATRI,21
10502,PDT,260
10502,PODE,5
10502,PSDB,26
10502,PSL,110
10502,PSOL,5
10502,PSTU,1
10502,PT,2434
10502,REDE,4
10510,DC,2
10510,MDB,74
10510,NOVO,32
10510,PATRI,18
10510,PDT,1688
10510,PODE,21
10510,PPL,3
10510,PSDB,722
10510,PSL,1781
10510,PSOL,22
10510,PSTU,1
10510,PT,6700
10510,REDE,26
10529,MDB,26
10529,NOVO,21
10529,PATRI,33
10529,PDT,318
10529,PODE,7
10529,PSDB,91
10529,PSL,429
10529,PSOL,4
10529,PSTU,3
10529,PT,2774
10529,REDE,8
10537,DC,2
10537,MDB,124
10537,NOVO,50
10537,PATRI,94
10537,PDT,1589
10537,PODE,45
10537,PPL,4
10537,PSDB,473
10537,PSL,2225
10537,PSOL,29
10537,PSTU,2
10537,PT,9581
10537,REDE,44
10545,MDB,27
10545,NOVO,11
10545,PATRI,37
10545,PDT,891
10545,PODE,4
10545,PPL,2
10545,PSDB,91
10545,PSL,647
10545,PSOL,15
10545,PSTU,2
10545,PT,4612
10545,REDE,18
10553,MDB,38
10553,NOVO,29
10553,PATRI,6
10553,PDT,389
10553,PODE,6
10553,PSDB,66
10553,PSL,322
10553,PSOL,1
10553,PSTU,2
10553,PT,2408
10553,REDE,14
10561,MDB,27
10561,NOVO,5
10561,PATRI,6
10561,PDT,472
10561,PODE,4
10561,PSDB,66
10561,PSL,185
10561,PSOL,12
10561,PT,2728
10561,REDE,16
10570,DC,2
10570,MDB,150
10570,NOVO,44
