Especificação,Coef 4G,SE,P-valor,Efeito %,R²,N,Sig.
Sem controles,-0.01306359775154952,0.0006465616164309815,8.896912727676787e-91,-16.12221467517326,0.1284108426283237,12973.0,***
Com controles 3G,-0.011099969931836621,0.0006575687328693866,6.280460984441302e-64,-13.69883714521229,0.16164508432301294,12973.0,***
