codigo_tse,sigla_partido,votos
10006,MDB,64
10006,NOVO,8
10006,PCB,2
10006,PDT,118
10006,PL,811
10006,PT,4716
10006,PTB,2
10006,UNIÃO,50
10006,UP,2
10014,MDB,78
10014,NOVO,3
10014,PCB,2
10014,PDT,90
10014,PL,542
10014,PT,3135
10014,PTB,1
10014,UNIÃO,16
10022,MDB,30
10022,NOVO,1
10022,PDT,87
10022,PL,587
10022,PT,2665
10022,PTB,3
10022,UNIÃO,17
10030,MDB,145
10030,NOVO,12
10030,PCB,3
10030,PDT,263
10030,PL,3041
10030,PSTU,1
10030,PT,8835
10030,PTB,6
10030,UNIÃO,42
10030,UP,1
10049,DC,1
10049,MDB,118
10049,PCB,1
10049,PDT,172
10049,PL,2210
10049,PSTU,2
10049,PT,5675
10049,PTB,1
10049,UNIÃO,35
10049,UP,2
10057,DC,2
10057,MDB,175
10057,NOVO,7
10057,PCB,3
10057,PDT,294
10057,PL,1442
10057,PT,8253
10057,PTB,4
10057,UNIÃO,75
10057,UP,1
10065,MDB,69
10065,NOVO,1
10065,PDT,104
10065,PL,908
10065,PT,3850
10065,UNIÃO,20
01007,MDB,356
01007,NOVO,5
01007,PCB,2
01007,PDT,197
01007,PL,4505
01007,PSTU,1
01007,PT,2130
01007,PTB,9
01007,UNIÃO,58
10073,DC,1
10073,MDB,542
10073,NOVO,25
10073,PCB,5
10073,PDT,664
10073,PL,3984
10073,PSTU,1
10073,PT,22770
10073,PTB,13
10073,UNIÃO,184
10073,UP,5
10081,MDB,62
10081,NOVO,2
10081,PCB,1
10081,PDT,64
10081,PL,254
10081,PT,3526
10081,PTB,4
10081,UNIÃO,17
10081,UP,2
10090,DC,1
10090,MDB,163
10090,NOVO,7
10090,PCB,1
10090,PDT,257
10090,PL,1537
10090,PSTU,1
10090,PT,9683
10090,PTB,6
10090,UNIÃO,79
10103,DC,9
10103,MDB,59
10103,NOVO,1
10103,PCB,1
10103,PDT,160
10103,PL,533
10103,PSTU,1
10103,PT,4640
10103,PTB,2
10103,UNIÃO,20
10111,DC,2
10111,MDB,92
10111,NOVO,2
10111,PDT,101
10111,PL,853
10111,PT,4092
10111,PTB,1
10111,UNIÃO,21
10111,UP,1
10120,DC,2
10120,MDB,121
10120,NOVO,4
10120,PCB,1
10120,PDT,187
10120,PL,681
10120,PSTU,2
10120,PT,5938
10120,PTB,7
10120,UNIÃO,50
10138,MDB,66
10138,NOVO,2
10138,PCB,1
10138,PDT,117
10138,PL,582
10138,PSTU,1
10138,PT,4814
10138,PTB,3
10138,UNIÃO,17
10146,MDB,49
10146,NOVO,4
10146,PDT,189
10146,PL,549
10146,PSTU,1
10146,PT,3448
10146,PTB,1
10146,UNIÃO,9
01015,MDB,264
01015,NOVO,6
01015,PCB,1
01015,PDT,120
01015,PL,3944
01015,PT,1630
01015,UNIÃO,46
10154,MDB,38
10154,NOVO,2
10154,PDT,44
10154,PL,586
10154,PSTU,2
10154,PT,1626
10154,UNIÃO,18
10162,MDB,32
10162,NOVO,1
10162,PCB,1
10162,PDT,63
10162,PL,348
10162,PT,2136
10162,PTB,1
10162,UNIÃO,10
10170,MDB,39
10170,PCB,2
10170,PDT,79
10170,PL,564
10170,PT,3618
10170,PTB,6
10170,UNIÃO,23
10189,MDB,89
10189,NOVO,3
10189,PCB,1
10189,PDT,116
10189,PL,706
10189,PT,3435
10189,UNIÃO,23
10197,MDB,75
10197,NOVO,1
10197,PDT,81
10197,PL,409
10197,PT,2696
10197,PTB,1
10197,UNIÃO,30
10200,MDB,42
10200,NOVO,2
10200,PCB,2
10200,PDT,84
10200,PL,732
10200,PT,3207
10200,PTB,1
10200,UNIÃO,16
10200,UP,1
10219,DC,2
10219,MDB,178
10219,NOVO,3
10219,PCB,2
10219,PDT,192
10219,PL,1392
10219,PSTU,1
10219,PT,5165
10219,PTB,2
10219,UNIÃO,63
10227,DC,1
10227,MDB,49
10227,NOVO,3
10227,PCB,1
10227,PDT,88
10227,PL,547
10227,PSTU,2
10227,PT,3907
10227,PTB,3
10227,UNIÃO,24
10227,UP,1
01023,DC,1
01023,MDB,463
01023,NOVO,12
01023,PCB,3
01023,PDT,168
01023,PL,7062
01023,PSTU,1
01023,PT,2490
01023,PTB,6
01023,UNIÃO,53
10235,MDB,556
10235,NOVO,18
10235,PCB,4
10235,PDT,643
10235,PL,5229
10235,PSTU,3
10235,PT,20919
10235,PTB,17
10235,UNIÃO,154
10235,UP,5
10243,MDB,48
10243,NOVO,5
10243,PCB,1
10243,PDT,61
10243,PL,285
10243,PT,3579
10243,PTB,7
10243,UNIÃO,18
10243,UP,1
10251,MDB,60
10251,NOVO,4
10251,PDT,52
10251,PL,450
10251,PT,1987
10251,UNIÃO,21
10260,MDB,24
10260,NOVO,1
10260,PDT,45
10260,PL,229
10260,PSTU,1
