codigo_tse,codigo_ibge,municipio_tse,uf,nome_uf,Município-UF,primeira_estacao_4g,ano_primeira_4g,mes_primeira_4g,n_estacoes_4g_total,operadora_primeira,faixa_primeira,tem_4g_2010,tem_4g_2014,tem_4g_2018,tem_4g_2022,anos_com_4g_2014,anos_com_4g_2018,anos_com_4g_2022
19,1100106,Guajará-Mirim,RO,Rondônia,Guajará-Mirim - RO,2017-09-01,2017,9,10,TIM,2500,0,0,1,1,0.0,1.08145106091718,5.08145106091718
35,1100205,Porto Velho,RO,Rondônia,Porto Velho - RO,2012-01-01,2012,1,272,VIVO,2500,0,1,1,1,2.74880219028063,6.74880219028063,10.74880219028063
51,1100122,Ji-Paraná,RO,Rondônia,Ji-Paraná - RO,2012-04-01,2012,4,80,CLARO,2500,0,1,1,1,2.4996577686516086,6.499657768651608,10.499657768651609
78,1100023,Ariquemes,RO,Rondônia,Ariquemes - RO,2012-02-01,2012,2,27,VIVO,2500,0,1,1,1,2.6639288158795345,6.663928815879535,10.663928815879535
94,1100049,Cacoal,RO,Rondônia,Cacoal - RO,2013-06-01,2013,6,20,VIVO,2500,0,1,1,1,1.3333333333333333,5.333333333333333,9.333333333333334
116,1100189,Pimenta Bueno,RO,Rondônia,Pimenta Bueno - RO,2012-05-01,2012,5,8,CLARO,2500,0,1,1,1,2.4175222450376452,6.417522245037645,10.417522245037645
132,1100304,Vilhena,RO,Rondônia,Vilhena - RO,2018-05-01,2018,5,36,VIVO,2500,0,0,1,1,0.0,0.4188911704312115,4.418891170431212
159,1100114,Jaru,RO,Rondônia,Jaru - RO,2018-03-01,2018,3,6,CLARO,700,0,0,1,1,0.0,0.5859000684462696,4.58590006844627
175,1100155,Ouro Preto Do Oeste,RO,Rondônia,Ouro Preto do Oeste - RO,2012-11-01,2012,11,7,VIVO,2500,0,1,1,1,1.9137577002053388,5.9137577002053385,9.91375770020534
213,1100080,Costa Marques,RO,Rondônia,Costa Marques - RO,2022-05-01,2022,5,1,TIM,700,0,0,0,1,0.0,0.0,0.4188911704312115
256,1100098,Espigão Do Oeste,RO,Rondônia,Espigão D'Oeste - RO,2022-10-01,2022,10,1,TIM,700,0,0,0,0,0.0,0.0,0.0
299,1100288,Rolim De Moura,RO,Rondônia,Rolim de Moura - RO,2019-11-01,2019,11,14,TIM,2500,0,0,0,1,0.0,0.0,2.915811088295688
310,1100015,Alta Floresta D'Oeste,RO,Rondônia,Alta Floresta D'Oeste - RO,2015-01-01,2015,1,5,TIM,700,0,0,1,1,0.0,3.7481177275838466,7.748117727583847
337,1100346,Alvorada Do Oeste,RO,Rondônia,Alvorada D'Oeste - RO,2022-07-01,2022,7,1,TIM,700,0,0,0,1,0.0,0.0,0.2518822724161533
353,1100296,Santa Luzia D'Oeste,RO,Rondônia,Santa Luzia D'Oeste - RO,2016-04-01,2016,4,5,CLARO,700,0,0,1,1,0.0,2.4996577686516086,6.499657768651608
370,1100148,Nova Brasilândia D'Oeste,RO,Rondônia,Nova Brasilândia D'Oeste - RO,2015-01-01,2015,1,1,CLARO,700,0,0,1,1,0.0,3.7481177275838466,7.748117727583847
396,1100130,Machadinho D'Oeste,RO,Rondônia,Machadinho D'Oeste - RO,2015-01-01,2015,1,12,TIM,700,0,0,1,1,0.0,3.7481177275838466,7.748117727583847
418,1100320,São Miguel Do Guaporé,RO,Rondônia,São Miguel do Guaporé - RO,2020-11-01,2020,11,7,CLARO,700,0,0,0,1,0.0,0.0,1.9137577002053388
450,1100031,Cabixi,RO,Rondônia,Cabixi - RO,2015-01-01,2015,1,1,CLARO,700,0,0,1,1,0.0,3.7481177275838466,7.748117727583847
477,1100809,Candeias Do Jamari,RO,Rondônia,Candeias do Jamari - RO,2018-03-01,2018,3,2,VIVO,700,0,0,1,1,0.0,0.5859000684462696,4.58590006844627
493,1101104,Itapuã Do Oeste,RO,Rondônia,Itapuã do Oeste - RO,2022-05-01,2022,5,1,TIM,700,0,0,0,1,0.0,0.0,0.4188911704312115
515,1100502,Novo Horizonte Do Oeste,RO,Rondônia,Novo Horizonte do Oeste - RO,2022-04-01,2022,4,1,TIM,700,0,0,0,1,0.0,0.0,0.5010266940451745
531,1100908,Castanheiras,RO,Rondônia,Castanheiras - RO,2018-07-01,2018,7,3,VIVO,700,0,0,1,1,0.0,0.2518822724161533,4.251882272416153
558,1101807,Vale Do Paraíso,RO,Rondônia,Vale do Paraíso - RO,2022-04-01,2022,4,1,TIM,700,0,0,0,1,0.0,0.0,0.5010266940451745
566,1101708,Urupá,RO,Rondônia,Urupá - RO,2013-02-01,2013,2,2,VIVO,2500,0,1,1,1,1.6618754277891854,5.661875427789186,9.661875427789186
574,1101302,Mirante Da Serra,RO,Rondônia,Mirante da Serra - RO,2022-05-01,2022,5,1,TIM,700,0,0,0,1,0.0,0.0,0.4188911704312115
590,1101609,Theobroma,RO,Rondônia,Theobroma - RO,2022-04-01,2022,4,1,TIM,700,0,0,0,1,0.0,0.0,0.5010266940451745
604,1101203,Ministro Andreazza,RO,Rondônia,Ministro Andreazza - RO,2016-03-01,2016,3,2,TIM,700,0,0,1,1,0.0,2.5845311430527036,6.584531143052704
612,1101005,Governador Jorge Teixeira,RO,Rondônia,Governador Jorge Teixeira - RO,2015-02-01,2015,2,3,CLARO,700,0,0,1,1,0.0,3.6632443531827517,7.663244353182751
620,1100601,Cacaulândia,RO,Rondônia,Cacaulândia - RO,2015-01-01,2015,1,1,CLARO,700,0,0,1,1,0.0,3.7481177275838466,7.748117727583847
647,1100262,Rio Crespo,RO,Rondônia,Rio Crespo - RO,2015-03-01,2015,3,2,CLARO,700,0,0,1,1,0.0,3.586584531143053,7.586584531143052
655,1100072,Corumbiara,RO,Rondônia,Corumbiara - RO,2022-04-01,2022,4,2,TIM,700,0,0,0,1,0.0,0.0,0.5010266940451745
671,1100700,Campo Novo De Rondônia,RO,Rondônia,Campo Novo de Rondônia - RO,2015-04-01,2015,4,2,CLARO,700,0,0,1,1,0.0,3.5017111567419574,7.501711156741957
680,1100940,Cujubim,RO,Rondônia,Cujubim - RO,2015-01-01,2015,1,5,TIM,700,0,0,1,1,0.0,3.7481177275838466,7.748117727583847
698,1101757,Vale Do Anari,RO,Rondônia,Vale do Anari - RO,2015-02-01,2015,2,1,CLARO,700,0,0,1,1,0.0,3.6632443531827517,7.663244353182751
710,1101484,São Felipe D'Oeste,RO,Rondônia,São Felipe D'Oeste - RO,2015-02-01,2015,2,4,CLARO,700,0,0,1,1,0.0,3.6632443531827517,7.663244353182751
728,1101476,Primavera De Rondônia,RO,Rondônia,Primavera de Rondônia - RO,2015-01-01,2015,1,1,CLARO,700,0,0,1,1,0.0,3.7481177275838466,7.748117727583847
736,1100379,Alto Alegre Dos Parecis,RO,Rondônia,Alto Alegre dos Parecis - RO,2022-04-01,2022,4,1,TIM,700,0,0,0,1,0.0,0.0,0.5010266940451745
779,1100452,Buritis,RO,Rondônia,Buritis - RO,2017-10-01,2017,10,4,VIVO,2500,0,0,1,1,0.0,0.999315537303217,4.999315537303217
787,1101468,Pimenteiras Do Oeste,RO,Rondônia,Pimenteiras do Oeste - RO,2015-01-01,2015,1,1,CLARO,700,0,0,1,1,0.0,3.7481177275838466,7.748117727583847
795,1101492,São Francisco Do Guaporé,RO,Rondônia,São Francisco do Guaporé - RO,2022-04-01,2022,4,2,TIM,700,0,0,0,1,0.0,0.0,0.5010266940451745
809,1100924,Chupinguaia,RO,Rondônia,Chupinguaia - RO,2014-10-01,2014,10,1,CLARO,2500,0,0,1,1,0.0,4.0,8.0
1007,1200138,Bujari,AC,Acre,Bujari - AC,2016-04-01,2016,4,4,VIVO,700,0,0,1,1,0.0,2.4996577686516086,6.499657768651608
1015,1200179,Capixaba,AC,Acre,Capixaba - AC,2018-08-01,2018,8,7,VIVO,700,0,0,1,1,0.0,0.16700889801505817,4.167008898015058
